Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,333964,14084303,190271,1-Apr-19,Void:    - Internet Access-ED,Testing ,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,362145,15781907,210944,1-Apr-19,Void: 40 Ft. RV Storage - (01-Apr-19 - 15-Apr-19),Cancelled Reservation,Storage,Amanda,600
Sunland RV Resort Emerald Desert,356107,15192633,206198,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,69
Sunland RV Resort Emerald Desert,356107,15192634,206198,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,358415,15603659,208043,1-Apr-19,Void: 07-ED Parking/Storage - (01-Apr-19),Cancelled Reservation,PARKING,Amanda,0
Sunland RV Resort Emerald Desert,358415,15624535,208043,1-Apr-19,Void: 07-ED Parking/Storage - (01-Apr-19),Incorrect Entry,PARKING,Amanda,0
Sunland RV Resort Emerald Desert,360036,15333251,209284,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,77
Sunland RV Resort Emerald Desert,360036,15333252,209284,1-Apr-19,Void:    - 1 x Pets,Cancelled Reservation,PETS,Amanda,3
Sunland RV Resort Emerald Desert,360036,15333253,209284,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,360036,15333254,209284,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.3
Sunland RV Resort Emerald Desert,355251,15784316,226142,1-Apr-19,Void: 02-ED Weekly Rate - (01-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,83
Sunland RV Resort Emerald Desert,355251,15784317,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784318,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.2
Sunland RV Resort Emerald Desert,355251,15784319,226142,1-Apr-19,Void: 02-ED Weekly Rate - (02-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,83
Sunland RV Resort Emerald Desert,355251,15784320,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,355251,15784321,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.2
Sunland RV Resort Emerald Desert,333041,15318175,189608,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,72.3
Sunland RV Resort Emerald Desert,355251,15784412,226142,1-Apr-19,Void: 02-ED Weekly Rate - (28-Feb-19),Cancelled Reservation,Lot-Weekly,Amanda,59.27
Sunland RV Resort Emerald Desert,355251,15784413,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784406,226142,1-Apr-19,Void: 02-ED Weekly Rate - (31-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784407,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784408,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784409,226142,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784410,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784411,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784400,226142,1-Apr-19,Void: 02-ED Weekly Rate - (29-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,73
Sunland RV Resort Emerald Desert,355251,15784401,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784402,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.2
Sunland RV Resort Emerald Desert,355251,15784403,226142,1-Apr-19,Void: 02-ED Weekly Rate - (30-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,73
Sunland RV Resort Emerald Desert,355251,15784404,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784405,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.2
Sunland RV Resort Emerald Desert,355251,15784394,226142,1-Apr-19,Void: 02-ED Weekly Rate - (27-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784395,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784396,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784397,226142,1-Apr-19,Void: 02-ED Weekly Rate - (28-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784398,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784399,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784388,226142,1-Apr-19,Void: 02-ED Weekly Rate - (25-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784389,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784390,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784391,226142,1-Apr-19,Void: 02-ED Weekly Rate - (26-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784392,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784393,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784382,226142,1-Apr-19,Void: 02-ED Weekly Rate - (23-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,73
Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,355251,15784383,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784384,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.2
Sunland RV Resort Emerald Desert,355251,15784385,226142,1-Apr-19,Void: 02-ED Weekly Rate - (24-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784386,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784387,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784376,226142,1-Apr-19,Void: 02-ED Weekly Rate - (21-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784377,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784378,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784379,226142,1-Apr-19,Void: 02-ED Weekly Rate - (22-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,73
Sunland RV Resort Emerald Desert,355251,15784380,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784381,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.2
Sunland RV Resort Emerald Desert,355251,15784370,226142,1-Apr-19,Void: 02-ED Weekly Rate - (19-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784371,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784372,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784373,226142,1-Apr-19,Void: 02-ED Weekly Rate - (20-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784374,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784375,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784364,226142,1-Apr-19,Void: 02-ED Weekly Rate - (17-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784414,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-5.83
Sunland RV Resort Emerald Desert,355251,15784365,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784366,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784367,226142,1-Apr-19,Void: 02-ED Weekly Rate - (18-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,71
Sunland RV Resort Emerald Desert,355251,15784368,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784369,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7
Sunland RV Resort Emerald Desert,355251,15784358,226142,1-Apr-19,Void: 02-ED Weekly Rate - (15-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,78
Sunland RV Resort Emerald Desert,355251,15784359,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784360,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.7
Sunland RV Resort Emerald Desert,355251,15784361,226142,1-Apr-19,Void: 02-ED Weekly Rate - (16-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,73
Sunland RV Resort Emerald Desert,355251,15784362,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,355251,15784363,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.2
Sunland RV Resort Emerald Desert,355251,15784352,226142,1-Apr-19,Void: 02-ED Weekly Rate - (13-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,81
Sunland RV Resort Emerald Desert,355251,15784353,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784354,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8
Sunland RV Resort Emerald Desert,355251,15784355,226142,1-Apr-19,Void: 02-ED Weekly Rate - (14-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,76
Sunland RV Resort Emerald Desert,355251,15784356,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784357,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.5
Sunland RV Resort Emerald Desert,355251,15784346,226142,1-Apr-19,Void: 02-ED Weekly Rate - (11-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,81
Sunland RV Resort Emerald Desert,355251,15784347,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784348,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8
Sunland RV Resort Emerald Desert,355251,15784349,226142,1-Apr-19,Void: 02-ED Weekly Rate - (12-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,81
Sunland RV Resort Emerald Desert,355251,15784350,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784351,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8
Sunland RV Resort Emerald Desert,355251,15784340,226142,1-Apr-19,Void: 02-ED Weekly Rate - (09-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,88
Sunland RV Resort Emerald Desert,355251,15784341,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784342,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.7
Sunland RV Resort Emerald Desert,355251,15784343,226142,1-Apr-19,Void: 02-ED Weekly Rate - (10-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,86
Sunland RV Resort Emerald Desert,355251,15784344,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784345,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.5
Sunland RV Resort Emerald Desert,355251,15784334,226142,1-Apr-19,Void: 02-ED Weekly Rate - (07-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,86
Sunland RV Resort Emerald Desert,355251,15784335,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784336,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.5
Sunland RV Resort Emerald Desert,355251,15784337,226142,1-Apr-19,Void: 02-ED Weekly Rate - (08-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,88
Sunland RV Resort Emerald Desert,355251,15784338,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784339,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.7
Sunland RV Resort Emerald Desert,355251,15784328,226142,1-Apr-19,Void: 02-ED Weekly Rate - (05-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,76
Sunland RV Resort Emerald Desert,355251,15784329,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784330,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.5
Sunland RV Resort Emerald Desert,355251,15784331,226142,1-Apr-19,Void: 02-ED Weekly Rate - (06-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,81
Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,355251,15784332,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784333,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8
Sunland RV Resort Emerald Desert,355251,15784322,226142,1-Apr-19,Void: 02-ED Weekly Rate - (03-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,76
Sunland RV Resort Emerald Desert,355251,15784323,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784324,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.5
Sunland RV Resort Emerald Desert,355251,15784325,226142,1-Apr-19,Void: 02-ED Weekly Rate - (04-Mar-19),Cancelled Reservation,Lot-Weekly,Amanda,76
Sunland RV Resort Emerald Desert,355251,15784326,226142,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,355251,15784327,226142,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-7.5
Sunland RV Resort Emerald Desert,357781,15624181,207551,1-Apr-19,Void: 01D- Emerald Daily Charge - (01-Apr-19),Cancelled Reservation,Lot-Daily,Amanda,77
Sunland RV Resort Emerald Desert,357781,15624182,207551,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Amanda,8.36
Sunland RV Resort Emerald Desert,357781,15624183,207551,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,357781,15624184,207551,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Amanda,0.11
Sunland RV Resort Emerald Desert,340824,15753016,195104,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Briana,71.84
Sunland RV Resort Emerald Desert,340824,15753017,195104,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Briana,7.79
Sunland RV Resort Emerald Desert,340824,15753018,195104,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Briana,1
Sunland RV Resort Emerald Desert,340824,15753019,195104,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Briana,0.11
Sunland RV Resort Emerald Desert,353020,15783622,203717,1-Apr-19,Void: Energy Charge - (23014 - 23748),Incorrect Entry,USAGE REIMB-ELECTRIC,Briana,85.8
Sunland RV Resort Emerald Desert,353020,15783623,203717,1-Apr-19,Void: Energy Base Charge,Incorrect Entry,USAGE REIMB-ELECTRIC,Briana,9.6
Sunland RV Resort Emerald Desert,353020,15783624,203717,1-Apr-19,Void: California Surcharge,Incorrect Entry,USAGE REIMB-ELECTRIC,Briana,0.21
Sunland RV Resort Emerald Desert,331189,13945922,188326,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Incorrect Entry,Lot-Weekly,Christina,85.11
Sunland RV Resort Emerald Desert,331189,13945923,188326,1-Apr-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Christina,1
Sunland RV Resort Emerald Desert,348104,14649522,200217,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Darlene,75
Sunland RV Resort Emerald Desert,348104,14649523,200217,1-Apr-19,Void:    - 2 x Pets,Cancelled Reservation,PETS,Darlene,6
Sunland RV Resort Emerald Desert,348104,14649524,200217,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Darlene,1
Sunland RV Resort Emerald Desert,375876,15776758,221133,1-Apr-19,Void: 01-ED Daily Charge - (01-Apr-19),Incorrect Entry,Lot-Daily,Jenn,83
Sunland RV Resort Emerald Desert,375876,15776759,221133,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,9.02
Sunland RV Resort Emerald Desert,375876,15776760,221133,1-Apr-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Jenn,1
Sunland RV Resort Emerald Desert,375876,15776761,221133,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,0.11
Sunland RV Resort Emerald Desert,375589,15762002,220913,1-Apr-19,Void: 01-ED Daily Charge - (01-Apr-19),Posted to wrong account ,Lot-Daily,Jenn,85
Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,375589,15762003,220913,1-Apr-19,Void:    - TOT,Posted to wrong account ,Transient/Occupancy Tax,Jenn,9.24
Sunland RV Resort Emerald Desert,375589,15762004,220913,1-Apr-19,Void:    - Internet Access-ED,Posted to wrong account ,USAGE REIMB-WIFI,Jenn,1
Sunland RV Resort Emerald Desert,375589,15762005,220913,1-Apr-19,Void:    - TOT,Posted to wrong account ,Transient/Occupancy Tax,Jenn,0.11
Sunland RV Resort Emerald Desert,375851,15779709,221109,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Karina1,2.75
Sunland RV Resort Emerald Desert,367759,15782199,215164,1-Apr-19,Void: 01-ED Daily Charge - (01-Apr-19),Incorrect Entry,Lot-Daily,Karina1,86
Sunland RV Resort Emerald Desert,367759,15782200,215164,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Karina1,9.35
Sunland RV Resort Emerald Desert,367759,15782201,215164,1-Apr-19,Void:    - 1 x Pets,Incorrect Entry,PETS,Karina1,3
Sunland RV Resort Emerald Desert,367759,15782202,215164,1-Apr-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Karina1,1
Sunland RV Resort Emerald Desert,367759,15782203,215164,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Karina1,0.11
Sunland RV Resort Emerald Desert,373643,15696306,219467,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Incorrect Entry,Lot-Weekly,Karina1,85
Sunland RV Resort Emerald Desert,373643,15696307,219467,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Karina1,9.24
Sunland RV Resort Emerald Desert,373643,15696308,219467,1-Apr-19,Void:    - 1 x Pets,Incorrect Entry,PETS,Karina1,3
Sunland RV Resort Emerald Desert,373643,15696309,219467,1-Apr-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Karina1,1
Sunland RV Resort Emerald Desert,373643,15696310,219467,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Karina1,0.11
Sunland RV Resort Emerald Desert,338637,15529280,193496,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Karina1,64.9
Sunland RV Resort Emerald Desert,338637,15529281,193496,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Karina1,1
Sunland RV Resort Emerald Desert,336577,14734145,192050,1-Apr-19,Void: ED-112: 02W- Emerald Weekly Rates - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Karina1,73.9
Sunland RV Resort Emerald Desert,336577,14734146,192050,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Karina1,8.01
Sunland RV Resort Emerald Desert,336577,14734147,192050,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Karina1,1
Sunland RV Resort Emerald Desert,336577,14734148,192050,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Karina1,0.11
Sunland RV Resort Emerald Desert,336577,14734205,192052,1-Apr-19,Void: ED-097: 01D- Emerald Daily Charge - (01-Apr-19),Cancelled Reservation,Lot-Daily,Karina1,83.58
Sunland RV Resort Emerald Desert,336577,14734206,192052,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Karina1,9.14
Sunland RV Resort Emerald Desert,336577,14734207,192052,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Karina1,1
Sunland RV Resort Emerald Desert,336577,14734208,192052,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Karina1,0.11
Sunland RV Resort Emerald Desert,366299,15462046,214082,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Incorrect Entry,Lot-Weekly,Lee,85
Sunland RV Resort Emerald Desert,366299,15462047,214082,1-Apr-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Lee,9.24
Sunland RV Resort Emerald Desert,366299,15462048,214082,1-Apr-19,Void:    - 1 x Pets,Incorrect Entry,PETS,Lee,3
